scene: 97 surfaces, 97 paint ops, 0 glyph runs
bez conversion: 0.025 ms uncached, 0.020 ms from a warm PathCache (97 entries)
conversion probe path cache: 5238 hits, 97 misses, 97 entries (98.2% hit rate)
vello_cpu cached cold path cache: 5238 hits, 97 misses (98.2% hit rate)
vello_cpu cached static path cache: 5335 hits, 0 misses (100.0% hit rate)
vello_cpu cached all curves moving path cache: 55 hits, 5280 misses (1.0% hit rate)
vello_cpu cached path cache: 10628 hits, 5377 misses, 97 entries (66.4% hit rate)
vello_hybrid cached cold path cache: 5238 hits, 97 misses (98.2% hit rate)
vello_hybrid cached static path cache: 5335 hits, 0 misses (100.0% hit rate)
vello_hybrid cached all curves moving path cache: 55 hits, 5280 misses (1.0% hit rate)
vello_hybrid cached path cache: 10628 hits, 5377 misses, 97 entries (66.4% hit rate)
tiles per-tile cold: 20 tile submissions, 0 full redraws
tiles per-tile static: 0 tile submissions, 0 full redraws
tiles per-tile all curves moving: 1100 tile submissions, 0 full redraws
tiles adaptive cold: 1 tile submissions, 1 full redraws
tiles adaptive static: 0 tile submissions, 0 full redraws
tiles adaptive all curves moving: 55 tile submissions, 55 full redraws
classic GPU buffer estimate: 8.7 MiB peak
adapter: AMD Radeon RX 6600 (RADV NAVI23) (Vulkan, DiscreteGpu)

backend              case                  build   resolve    encode    render     total       p95
mui (resolve only)   static                0.006     0.175     0.000     0.000     0.181     0.226
vello_cpu            cold                  0.007     0.215    15.901     0.295    16.448    17.625
vello_cpu            static                0.007     0.172    15.853     0.286    16.315    17.166
vello_cpu            all curves moving     0.007     0.176    15.976     0.300    16.478    16.886
vello_cpu cached     cold                  0.007     0.213    16.121     0.296    16.650    17.551
vello_cpu cached     static                0.007     0.176    16.126     0.292    16.612    17.604
vello_cpu cached     all curves moving     0.006     0.176    15.891     0.287    16.361    16.887
vello_hybrid         cold                  0.007     0.219    15.962     0.590    17.047    18.598
vello_hybrid         static                0.006     0.183    16.027     0.683    16.968    17.678
vello_hybrid         all curves moving     0.006     0.183    15.967     0.531    16.705    18.295
vello_hybrid cached  cold                  0.007     0.227    16.128     0.625    17.330    25.063
vello_hybrid cached  static                0.006     0.193    16.078     0.632    17.228    19.853
vello_hybrid cached  all curves moving     0.008     0.203    16.248     0.772    17.284    20.431
tiles per-tile       cold                  0.007     0.224     0.155     0.299     0.696     2.187
tiles per-tile       static                0.006     0.183     0.146     0.211     0.584     1.373
tiles per-tile       all curves moving     0.007     0.184    28.126     0.405    28.795    30.548
tiles adaptive       cold                  0.007     0.220     0.141     0.299     0.661     1.584
tiles adaptive       static                0.006     0.180     0.141     0.292     0.621     1.548
tiles adaptive       all curves moving     0.006     0.186    16.865     1.200    18.571    19.073
vello (classic)      cold                  0.007     0.220     0.153     1.203     1.593     2.431
vello (classic)      static                0.007     0.183     0.152     1.010     1.359     2.103
vello (classic)      all curves moving     0.007     0.182     0.153     0.925     1.266     1.619

peak RSS 76.7 MiB
